"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"644759",7.89585997756812,-1.72706713072868,0.580246889852185,-2.97643496403513,0.00291620927812666,0.71634726466644,"TMPRSS11GP"
"441027",274.530406267061,-0.437774760412014,0.147408969165431,-2.9697973121345,0.00297996295149659,0.718361281711838,"TMEM150C"
"79803",656.229108445387,0.253461143919927,0.0857110349501373,2.95715883103476,0.0031048813602873,0.728908109416687,"HPS6"
"646982",280.904944447998,0.307718249249214,0.104112240340051,2.95563949295631,0.00312021564931238,0.728908109416687,"LINC00598"
"57631",214.596416250736,-0.495689092797525,0.167449178695732,-2.96023603494783,0.00307403424926939,0.728908109416687,"LRCH2"
"729627",4.46100508895732,-1.56092723054439,0.528853166141987,-2.95153235430438,0.00316201417403305,0.731135114118254,"PRR23A"
"125111",449.362638623625,0.628019441851395,0.213402973544917,2.94288046421812,0.00325173948415124,0.744066547767337,"GJD3"
"222950",17.8340529617973,0.958608009159427,0.3260727418274,2.93985938164328,0.00328361230259195,0.744066547767337,"NYAP1"
"1909",2558.43624773344,-0.479426965483836,0.163278596379447,-2.93625114445303,0.00332205247396744,0.74532385208022,"EDNRA"
"51022",103.729875390589,0.324813697409643,0.111052001918559,2.92487926195017,0.00344589892125684,0.754086267903306,"GLRX2"
"79949",127.71099173438,-0.71600652082423,0.245496449750575,-2.91656568374693,0.00353908197119094,0.754086267903306,"PLEKHS1"
"143872",662.013136304866,-0.495055194818049,0.170019584499503,-2.91175393867343,0.00359405635187807,0.754086267903306,"ARHGAP42"
"283481",22.0757490156127,-0.789361395127846,0.2705523673612,-2.91759189848082,0.00352745686674295,0.754086267903306,"FGF14-AS2"
"8858",60.7882393278117,0.438449803711548,0.150479242801043,2.91368959299754,0.00357184870966615,0.754086267903306,"PROZ"
"478",4.74737768754538,1.38829288656085,0.474035563972482,2.92866820988444,0.00340417583544815,0.754086267903306,"ATP1A3"
"7539",130.566692400945,-0.43818465176766,0.150226369333693,-2.91682914065729,0.00353609417337858,0.754086267903306,"ZFP37"
"100506766",221.785597525516,0.466608444757133,0.160708140553984,2.90345245205792,0.00369073008844944,0.760290398220584,NA
"4747",8.17698472180399,-1.60930771796406,0.553737300378758,-2.90626569108363,0.00365770723785651,0.760290398220584,"NEFL"
"64123",538.846202451586,-0.533245735373079,0.184056980689723,-2.89717745762659,0.00376536700654405,0.768677624939533,"ADGRL4"
"8543",2955.11676204885,-0.378386890045157,0.131495752379366,-2.87755979336511,0.0040076395198532,0.787467993926897,"LMO4"
"100507019",3.10283773456872,3.76280537572624,1.32207019374406,2.84614644028098,0.00442518395032382,0.787467993926897,NA
"693197",3099.84368903632,0.720878045953729,0.253967686606123,2.83846364703764,0.00453312827041569,0.787467993926897,"MIR612"
"349633",45.7897301459302,-0.518600532666465,0.183719900828371,-2.82277820926398,0.00476094947784576,0.787467993926897,"PLET1"
"1272",214.708583186823,-0.838410501997821,0.295857135278126,-2.83383566602055,0.00459929769439316,0.787467993926897,"CNTN1"
"338773",173.752847911453,-0.958673194293162,0.33756299942098,-2.83998304298033,0.00451159319858835,0.787467993926897,"TMEM119"
"160760",943.47530637495,0.228095671717127,0.0806760308567825,2.82730408641504,0.00469417288953181,0.787467993926897,"PPTC7"
"5106",443.506048565323,0.615072092162771,0.214651683203183,2.86544266965082,0.0041642666831974,0.787467993926897,"PCK2"
"400464",58.5544351118214,0.533816495731602,0.18852785858839,2.83149927935625,0.00463303379821359,0.787467993926897,"LOC400464"
"5713",508.310059418722,0.296097176907799,0.104147041873504,2.84306852678001,0.0044681462418919,0.787467993926897,"PSMD7"
"71",21508.6654673785,0.330160424713141,0.116497587954992,2.83405373886965,0.00459616022499707,0.787467993926897,"ACTG1"
"83999",1522.76346507621,0.424098753574509,0.148220030071054,2.86127828587813,0.00421936509138563,0.787467993926897,"KREMEN1"
"410",1167.1312310252,0.513793418628579,0.181484841829981,2.8310541720609,0.00463948624962736,0.787467993926897,"ARSA"
"57633",76.2695088461733,-0.877515203393668,0.309229884564247,-2.83774385076082,0.00454336273164825,0.787467993926897,"LRRN1"
