gene	log2FC	                         p	               padj	        n
BCORL1	0.556547833862009	0.00246889470080877	0.265925216579152	8
C9orf123	-1.28278453340208	0.00247088917587706	0.265925216579152	8
UNG	-0.819008982109357	0.00249754447664046	0.267444456829649	8
PRPF6	0.71901408758654	0.00251152928642361	0.267444456829649	8
LOC100133760	0.924223497410568	0.00251834049954101	0.267444456829649	8
ECHDC3	1.2889196627178	0.00251904662450124	0.267444456829649	8
MAPK14	1.17311953621181	0.00255909055630778	0.269778594958072	8
CD248	-0.714455222193534	0.00256752519891149	0.269778594958072	8
SMAP2	0.547921643875069	0.00257172919645963	0.269778594958072	8
LOC728650	1.7125542374051	0.00257537002760204	0.269778594958072	8
ASB7	0.882948768179067	0.00258767714182311	0.269830089869754	8
RAE1	0.754762650759922	0.00259303402089562	0.269830089869754	8
ENO2	-0.82643778471817	0.00261226506245801	0.270934131527411	8
MND1	0.628543408016391	0.00266990701057367	0.275134367193472	8
NPL	1.36078093421627	0.00267027244937342	0.275134367193472	8
STX11	1.01528399434689	0.00268973675702701	0.275780139135888	8
RBM23	0.918981129823599	0.00269621065478066	0.275780139135888	8
LOC650646	1.43656068094339	0.00270286650715501	0.275780139135888	8
HSPA7	1.35309140691631	0.00272491996718603	0.277130533620674	8
LRRC61	0.828164466013671	0.00273556272055566	0.277315464697362	8
LOC730235	0.838497492446798	0.00275175551068614	0.277757093999943	8
TXN	0.71541933319426	0.0027575960455668	0.277757093999943	8
MTMR3	1.21866362559313	0.00278064824510838	0.279184190897048	8
LOC100129322	0.936742056865507	0.00280283750388558	0.280515832474867	8
TRIB2	-1.19458324755288	0.00282184218199824	0.281521309242784	8
CDK5R1	1.12252260530583	0.00283201810578559	0.281642408203854	8
INSL5	0.782445654066537	0.00284988553600109	0.281688883854103	8
LOC646808	-1.03416166710239	0.00286279109821464	0.281688883854103	8
ADAM19	0.812236585137917	0.00286857878067784	0.281688883854103	8
FBN2	1.43987074712952	0.00287049592454992	0.281688883854103	8
KCNE1L	0.731237153689761	0.00288901656504939	0.281688883854103	8
TMEM49	0.816362590438233	0.0028894067670994	0.281688883854103	8
SIGLEC7	0.839519097801486	0.00290074255935138	0.281688883854103	8
CCNG2	0.793651075466185	0.00290763950367148	0.281688883854103	8
MGC40069	-1.03377106541614	0.00291588039402394	0.281688883854103	8
ASS1	0.613568686648138	0.00292212105060897	0.281688883854103	8
MMP11	-0.70961348551868	0.00296019537251507	0.284370039756022	8
MYD88	0.922616319494522	0.00296930781860498	0.284370039756022	8
GRAP	-0.799666284478625	0.00297982869645775	0.284370039756022	8
SPAG1	1.05185037845953	0.002986129737144	0.284370039756022	8
PLXNA3	-1.00438925361876	0.00300974025347615	0.285752559533962	8
SDF2	0.928751770586176	0.00302421993387135	0.286262456752534	8
NLRX1	0.94054165053296	0.00307585296145416	0.287788872208415	8
LILRA6	0.692859247280793	0.00307920553446294	0.287788872208415	8
UIMC1	0.904144413637598	0.00308302723059767	0.287788872208415	8
MMP25	0.73693418901127	0.00308857104432513	0.287788872208415	8
LOC650832	0.661274839721351	0.00310065890640341	0.287788872208415	8
TREML2	0.844775892883463	0.0031008728206669	0.287788872208415	8
LOC653778	0.951572805166818	0.00310444942654658	0.287788872208415	8
NEDD1	0.804793939516378	0.00311585498893746	0.287996643771614	8
SEC14L5	-1.11919447398271	0.00320791606482685	0.294457052762793	8
GCA	0.718696554028032	0.00322160091715079	0.294457052762793	8
LOC651319	0.751128631500995	0.00322950846930132	0.294457052762793	8
LOC338799	-0.793518933193553	0.00323909935689863	0.294457052762793	8
LOC285943	1.84498776636633	0.00326111043563287	0.294457052762793	8
RAB2A	0.778995736767571	0.00326634617585029	0.294457052762793	8
ECE1	0.801650875462345	0.00326958319245916	0.294457052762793	8
HECW2	0.931112062092911	0.003283034292515	0.294457052762793	8
TSR1	0.988736654040376	0.00328702317438161	0.294457052762793	8
ALPK1	1.29591628518417	0.0032884276057747	0.294457052762793	8
FTHL11	0.738739912426011	0.00329301987871463	0.294457052762793	8
CHST12	-0.973183368722541	0.00330364442723215	0.294457052762793	8
PLSCR1	1.55210330342278	0.00332446196051077	0.294457052762793	8
STAT3	0.75930415255828	0.00332829063030006	0.294457052762793	8
IL1RAP	1.24958802723003	0.00333029599068626	0.294457052762793	8
