gene	log2FC	p	padj	n
TNXB	-2.155768	0.0022393201712518	0.426214349729101	8
TNXB	-2.155768	0.0022393201712518	0.426214349729101	8
APOC1	-1.048616	0.0022957937810354	0.431098335095855	8
HAPLN1	-0.452427499999999	0.00232474424654791	0.431098335095855	8
CD82	0.49073275	0.00234001753280938	0.431098335095855	8
BOC	-0.645713749999999	0.00238694794272523	0.431098335095855	8
COX7A1	-0.573956749999999	0.00238954110644829	0.431098335095855	8
PRCP	-0.667513	0.00239447471154895	0.431098335095855	8
IL1R1	-1.369184	0.00240998692360072	0.431098335095855	8
LINC01116	0.85623575	0.0024118015436637	0.431098335095855	8
MPP4	0.50559975	0.00243853686832748	0.431098335095855	8
GRK5	-0.501119499999999	0.00244100549784067	0.431098335095855	8
CHURC1-FNTB	-0.405828249999999	0.00244341234434945	0.431098335095855	8
GCH1	-0.48377225	0.00246131332024053	0.431098335095855	8
LRCH2	-0.466419749999999	0.00247500360283039	0.431098335095855	8
TECR	-0.611411999999999	0.00248209274561702	0.431098335095855	8
ACOT13	-0.371199499999999	0.00250565405333191	0.431618561107219	8
C6orf120	-0.433401749999999	0.00252880629553873	0.431618561107219	8
THTPA	-0.371645999999999	0.00254068648758191	0.431618561107219	8
NBL1	0.408394000000001	0.00259515053775802	0.434264832265289	8
GLCCI1	-0.5288485	0.00259985599589895	0.434264832265289	8
HEY1	0.643025250000001	0.00262941841024019	0.434264832265289	8
TCTN3	-0.4922915	0.00263335030756807	0.434264832265289	8
IL7	-1.218145	0.0026630449153391	0.434264832265289	8
NAGA	-0.52847	0.0026920422949128	0.434264832265289	8
AKR1B1	-0.74075475	0.0026962476486602	0.434264832265289	8
LACC1	0.49923475	0.00269972731113658	0.434264832265289	8
ZNF436	-0.4987905	0.00276737929255623	0.435669783228717	8
TPTE2P6	-0.571544	0.00277821766123137	0.435669783228717	8
NCAM1	2.41375	0.00283572748195357	0.435669783228717	8
PTDSS1	-0.4214315	0.00283612588276619	0.435669783228717	8
F10	-0.824126999999999	0.00284119598742228	0.435669783228717	8
OR2A1	0.6110105	0.0028463577639352	0.435669783228717	8
SAMHD1	-0.899805499999999	0.0028633451833282	0.435669783228717	8
TOM1L1	-0.64357825	0.00287584440661333	0.435669783228717	8
BORCS7	-0.624122249999999	0.00288149783233392	0.435669783228717	8
TNXB	-1.93641575	0.00290472690863367	0.435669783228717	8
CASP12	-1.24883425	0.00294620400565393	0.437945333822584	8
HTR3D	0.478798	0.00297075291489684	0.438004806594288	8
RAB38	-0.747153249999999	0.0029877104536812	0.438245792846798	8
PSG5	1.01114725	0.0030676190232995	0.44365014448214	8
LIMS1	0.6375415	0.00306860090921337	0.44365014448214	8
ZNF830	-0.435976749999999	0.00307785035815162	0.44365014448214	8
STIM2	-0.535106	0.00315112059949913	0.449993337629447	8
SECTM1	-0.58901675	0.00316240024642732	0.449993337629447	8
TNXB	-1.456185	0.0031964189185107	0.452898556296386	8
KRT19	-0.834925249999998	0.0032347492909891	0.45446180228719	8
SCARNA6	0.567231500000001	0.00330536326629482	0.462431431419407	8
ROR1	-1.030449	0.00334737469270561	0.463738252503477	8
EEIG2	-0.474971999999999	0.00336150509667528	0.463738252503477	8
SGIP1	0.543192	0.00339152434422674	0.464722576500896	8
SLC38A4	-0.573608	0.00342896274813904	0.466566236951153	8
SIK1	0.409547000000001	0.00344389083556875	0.466566236951153	8
HRNR	0.431681250000001	0.00344701607622259	0.466566236951153	8
ZFX	-0.4503805	0.00355436122066368	0.466677533316936	8
COL1A1	0.622787250000002	0.00356136284960699	0.466677533316936	8
RILPL2	-0.415843	0.00356363959589957	0.466677533316936	8
DMD	0.499162750000001	0.00357485446592078	0.466677533316936	8
SUCLG2	-0.623568749999999	0.00357834356056883	0.466677533316936	8
CLDN1	1.31634225	0.00360633295025728	0.466677533316936	8
SART3	-0.404183749999999	0.00361205864911017	0.466677533316936	8
IL6ST	-0.663667	0.00362052270335513	0.466677533316936	8
PMS2CL	0.492869500000001	0.00365183197813606	0.466677533316936	8
MIR412	0.377175000000001	0.00366635018515827	0.466677533316936	8
CTSA	-0.5659275	0.00367208798777779	0.466677533316936	8
PIGT	-0.412309249999999	0.00370010936568337	0.46707535929522	8
HECW1	1.0621365	0.00370327341363901	0.46707535929522	8
POLR2M	-0.356908749999998	0.00374960405829816	0.468503817582445	8
CLMP	-0.42750825	0.00375320766254995	0.468503817582445	8
