"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-1185-1-3p",0.400590814380474,-1.07169811435335,3.04237924574238,-0.352256582033,0.724645846434024,NA
"hsa-miR-1185-2-3p",0.400590814380474,-1.07169811435335,3.04237924574238,-0.352256582033,0.724645846434024,NA
"hsa-miR-12128",0,0,0,0,1,NA
"hsa-miR-12136",18.0466756783044,-0.460704809460904,0.868964048105078,-0.530177065973613,0.595989170435508,0.879207164650729
"hsa-miR-122-3p",1.03974606015584,2.66221002019763,2.9977226981369,0.888077480232647,0.374499075325582,NA
"hsa-miR-122-5p",11668.8967505299,-0.938614617955199,0.411108889673273,-2.28312897515098,0.0224227722475006,0.205254607496351
"hsa-miR-1224-3p",0.551929385023508,-2.59821876317149,3.01404359430996,-0.862037552501402,0.388666853472944,NA
"hsa-miR-1224-5p",9.09921644883966,0.629750191193265,1.15032930764688,0.547452096549193,0.5840681723992,0.878457438532382
"hsa-miR-1226-3p",5.90900669082481,-0.406068111722139,1.68210703992439,-0.241404442216942,0.809241670158882,0.923000882577383
"hsa-miR-1229-3p",2.72256425431428,0.401841814723313,1.90091432245148,0.211393964460789,0.832579865996571,NA
"hsa-miR-1234-3p",0.491991937482763,0.652472163970625,3.04130354804573,0.214537008116105,0.830128310419108,NA
"hsa-miR-1236-5p",0.883896314604802,0.107734022997408,2.9879324274735,0.0360563786539524,0.971237404483567,NA
"hsa-miR-1237-3p",0.230126969807084,1.09997788220003,3.05858330174126,0.359636398189256,0.719119060501141,NA
"hsa-miR-1246",0.329834362472847,-1.32117836290447,3.04694813489787,-0.433607105999775,0.664573773715242,NA
"hsa-miR-1247-5p",38.0998977120441,-1.34389837545226,0.632825580775001,-2.12364736236869,0.0336996419768309,0.238939685605656
"hsa-miR-1249-3p",7.05662386025195,0.917852260802429,1.19294845847054,0.7693980861329,0.4416570244098,0.82735786484053
"hsa-miR-1250-5p",0.613857242956827,-1.83424990908933,3.01522939559346,-0.608328478015619,0.542969636980438,NA
"hsa-miR-1255a",4.10805683920275,-0.0053678610402049,1.71750080514265,-0.00312539069800266,0.997506303075354,NA
"hsa-miR-1255b-5p",17.6038414346575,0.116720473361462,0.905752878959868,0.128865694024069,0.897463922482758,0.939573666646171
"hsa-miR-125a-3p",15.0598060754827,-0.832354389371834,0.952187870600339,-0.874149330265095,0.38203693585952,0.825829999365243
"hsa-miR-125a-5p",10100.7180935475,-0.555144109964425,0.319238639158899,-1.73896277539294,0.0820413108636025,0.415129208456375
"hsa-miR-125b-1-3p",1.56142392776335,0.0458978854292894,2.88457570853045,0.0159114858013805,0.987305006818526,NA
"hsa-miR-125b-2-3p",6.07313411775268,1.94356645691301,0.988926266067158,1.96532999840558,0.0493760557150775,0.279797649052106
"hsa-miR-125b-5p",1196.67487802675,-0.934486125743053,0.498786037482965,-1.8735210200726,0.0609964728755489,0.33447131634611
"hsa-miR-126-3p",76619.6727552533,-0.519589511363141,0.368571338289765,-1.4097393296346,0.158616667018219,0.553378003861325
"hsa-miR-126-5p",4289.71162405803,-0.635432552211131,0.318464779327414,-1.99529930296575,0.0460102458895336,0.273760963042725
"hsa-miR-1262",3.58262358463226,-0.35014551445247,1.85835070449296,-0.188417349645532,0.850549500213435,NA
"hsa-miR-1266-5p",0.472554329700674,2.39502387076428,3.02057545979563,0.792903174458793,0.427834237683649,NA
"hsa-miR-1268a",8.28982158777478,0.815540526560842,1.05770028762022,0.771050680524795,0.440676892179453,0.82735786484053
"hsa-miR-1268b",9.9230251979064,1.24269900456999,1.08076772772481,1.14982985954445,0.250213954311164,0.676715012796102
"hsa-miR-127-3p",35.9488482109027,-0.889667644031102,0.643671928356168,-1.38217561592777,0.166917785246319,0.556912610588187
"hsa-miR-1270",15.1175606487579,0.969893306186966,0.831596778968601,1.16630238441987,0.243492209493113,0.671346592168213
"hsa-miR-1271-5p",3.93231206043481,-2.23199558284395,1.6245257636246,-1.37393670991341,0.169461331743459,NA
"hsa-miR-1273h-3p",12.7520248539925,0.723901718487749,1.01862976030194,0.710662251094229,0.477293557218498,0.843533663004968
"hsa-miR-1273h-5p",4.60981802613656,1.26681661272419,1.8217016795322,0.695402890032739,0.486802849902828,NA
"hsa-miR-1275",13.1790298787207,0.43628204863504,1.00906625898876,0.432362141483415,0.665478229174621,0.884176186771065
"hsa-miR-1277-3p",1.72148257448877,0.318345133857287,2.30614209420463,0.138042289179532,0.890206995526949,NA
"hsa-miR-1277-5p",20.5467540161704,-0.614751522849698,0.686843248966542,-0.895039040967038,0.370766218446632,0.8201187758563
"hsa-miR-128-1-5p",1.00764540470543,3.47105933096494,2.99634585349424,1.15843080227775,0.246688275184434,NA
"hsa-miR-128-3p",110.463823431904,-0.331114615529493,0.300901582708817,-1.10040835461445,0.271154239968579,0.715891739400897
"hsa-miR-1284",0.517016356868778,1.38305347078648,3.02894335181349,0.456612524614703,0.647949575283916,NA
"hsa-miR-1285-3p",0.417444301792838,1.61505908971152,3.03305450767985,0.532486008946462,0.594389429471122,NA
"hsa-miR-1285-5p",0.449250558142726,2.32858157057217,3.0225739460537,0.770396890905645,0.441064497140619,NA
"hsa-miR-1287-5p",5.37425225926965,0.42861015822056,1.0669864720361,0.401701586152874,0.687903657059645,0.884176186771065
"hsa-miR-129-5p",0.756381635433685,-2.07264282761626,3.00901961954795,-0.68881000780169,0.490942836923499,NA
"hsa-miR-1292-5p",7.4716742355046,-0.378799199994552,1.00685099987647,-0.376221705139118,0.706752080421836,0.889715891412937
"hsa-miR-1294",60.0960055327047,-0.735376586994575,0.338565885139951,-2.17203392093269,0.0298531044400041,0.231680242350212
"hsa-miR-1296-5p",11.7012103618839,-0.310601079391557,1.19037847360243,-0.260926324088832,0.794149324146551,0.915671208649392
"hsa-miR-1297",1.12085058147906,0.0767958356214065,1.87762936933425,0.0409004230950202,0.967375280150126,NA
"hsa-miR-1298-5p",0.0424517804625663,0.349967144090691,3.06038250977364,0.114354053120169,0.908957135287936,NA
"hsa-miR-1299",9.16937440035428,-0.866578800460841,1.15998568843904,-0.747059906943312,0.455027400088193,0.82735786484053
"hsa-miR-1301-3p",34.1969073212429,-1.49940628456394,0.481890781370285,-3.11150647103124,0.00186135394450676,0.0636295210601659
"hsa-miR-1303",6.25478677795652,4.23751531501302,1.27769301385825,3.31653634249512,0.000911407327751124,0.0464817737153073
"hsa-miR-1304-3p",0.620920558151446,-2.76893886553785,3.00962552601487,-0.920027704976398,0.357558281551635,NA
"hsa-miR-1306-3p",4.41738807454689,3.59922997465947,1.50103222108292,2.39783658478883,0.0164922210992272,NA
"hsa-miR-1306-5p",241.11566228403,0.509612165302934,0.293552407459317,1.73601766619325,0.0825607109254975,0.415129208456375
"hsa-miR-1307-3p",469.287197579853,0.291819784979337,0.382220929659149,0.763484577465635,0.445174456582669,0.82735786484053
"hsa-miR-1307-5p",9.16057443794075,1.54652166194659,0.997619641127256,1.55021172217409,0.121090707208822,0.488895840485301
"hsa-miR-130a-3p",68.9497866823901,-0.680738754551657,0.535563673245758,-1.2710696945259,0.203703855520904,0.58791218075538
"hsa-miR-130b-3p",28.420226247938,-0.595978581234398,0.565806306667274,-1.05332615457195,0.292191535810469,0.753039880326656
"hsa-miR-130b-5p",15.7218250482209,0.542406147220645,0.931625702394679,0.582214666068602,0.560422095838562,0.876381027235558
"hsa-miR-132-3p",11.6526910135565,0.807036186483098,0.99337464359417,0.812418750254312,0.416551390802061,0.82735786484053
"hsa-miR-132-5p",2.01390625037851,-2.4520614817769,2.42106960740481,-1.0128009018317,0.311155269871466,NA
"hsa-miR-1323",0,0,0,0,1,NA
"hsa-miR-133a-3p",8.56159622310789,-0.565897836538654,1.08985343776837,-0.519242144794634,0.603591892867155,0.883537316520756
"hsa-miR-133b",1.63016821462801,-0.151564455147027,2.30202286107813,-0.0658396828761481,0.947505462394085,NA
"hsa-miR-134-5p",60.6790659712578,-0.717268391313997,0.508045130608992,-1.41182022639251,0.15800290132487,0.553378003861325
"hsa-miR-1343-3p",1.39201994234099,1.27604033700281,2.636910959911,0.483914836868774,0.628446310253136,NA
"hsa-miR-135a-3p",0,0,0,0,1,NA
"hsa-miR-135a-5p",2.50869390043163,0.355479554786863,1.35651673129668,0.26205320331513,0.793280424624128,NA
"hsa-miR-135b-5p",2.50869390043163,0.355479554786863,1.35651673129668,0.26205320331513,0.793280424624128,NA
"hsa-miR-136-3p",1.84655549825213,3.4849308526202,2.68310779053963,1.29884116654117,0.193998443718058,NA
"hsa-miR-136-5p",1.45251319633007,0.447984193378255,2.60488057601957,0.171978783788547,0.863454208558927,NA
"hsa-miR-137-3p",0.297162463237964,1.80603311921497,3.0390447845794,0.594276572816257,0.552327145012664,NA
"hsa-miR-138-5p",0.472360887210308,-1.19649872784016,3.03763706322437,-0.393891272372779,0.693661314214635,NA
"hsa-miR-139-3p",395.166794535043,-0.486232868178771,0.357884800441153,-1.35862955783371,0.174264004001195,0.566790099404508
"hsa-miR-139-5p",129.531153849987,-0.518222422224732,0.38142619711046,-1.35864402117785,0.174259418592942,0.566790099404508
"hsa-miR-140-3p",909.673283265324,0.69505787739565,0.336004949408462,2.06859416392319,0.0385841860532092,0.25508434112955
"hsa-miR-140-5p",147.333138117893,-0.549634809331003,0.238842008604718,-2.30124848028994,0.0213775900208794,0.200836832564578
"hsa-miR-141-3p",69.3026751494655,-0.536963579584248,0.59493521267347,-0.902558073796449,0.36676048663676,0.818334335808272
"hsa-miR-141-5p",1.2807907675163,-2.96645818602545,2.94972063984337,-1.00567428181368,0.314572278504128,NA
"hsa-miR-142-3p",19685.1518201859,0.213391188223717,0.336140989320569,0.634826441889867,0.525541615853296,0.867363193521778
"hsa-miR-142-5p",2759.82161251432,-0.240819646967521,0.262675575200773,-0.916794973356214,0.359250087163396,0.813771512885725
"hsa-miR-143-3p",1189.33654311673,-1.97928252122594,0.494818636278532,-4.00001611926316,6.33381693160736e-05,0.0113058632229191
"hsa-miR-143-5p",5.489102743298,-0.642591228604181,1.62413480526043,-0.395651411768829,0.692362204311141,0.885925831322858
"hsa-miR-144-3p",409.598441794158,-0.148489534038629,0.395477189119717,-0.375469276418062,0.707311491721354,0.889715891412937
"hsa-miR-144-5p",611.931809775633,1.47767170739364,0.457336395471372,3.23103895081568,0.00123341130522205,0.0550409794955338
"hsa-miR-145-3p",0.138972893108239,-0.732042313269376,3.06038250977364,-0.239199613424637,0.810950802407699,NA
"hsa-miR-145-5p",63.2310827917063,-1.78872776809255,0.721988841593657,-2.4775005720923,0.0132306196696297,0.16627752597114
"hsa-miR-1468-5p",6.93696866454873,0.947575518496695,1.43509446779123,0.660287904220773,0.509069090810694,0.865417454378179
"hsa-miR-1469",1.67994686761269,-2.65106585301055,2.98162656831735,-0.889134099213052,0.373931014806324,NA
"hsa-miR-146a-5p",1774.98290172818,-0.115306265131415,0.312244510425843,-0.369281961031626,0.711917569850032,0.889715891412937
"hsa-miR-146b-3p",26.7695751063757,0.536770550035152,0.7195279413626,0.746003760491423,0.455665143404947,0.82735786484053
"hsa-miR-146b-5p",315.132157461861,0.199438198401142,0.32153278695337,0.620273286251414,0.535077879280857,0.872746703458313
"hsa-miR-148a-3p",1976.05966705917,-0.219046797781806,0.250855530538445,-0.873198997493246,0.382554621183783,0.825829999365243
"hsa-miR-148a-5p",0.464465289869371,-0.535607587248768,3.0466750926107,-0.175800691234786,0.860450526568672,NA
"hsa-miR-148b-3p",434.753693819004,0.146911782738499,0.249416996782494,0.589020734888466,0.555847364279954,0.876381027235558
"hsa-miR-148b-5p",21.502377165843,0.563211065097776,0.610699679522284,0.922239005493411,0.356403921527087,0.813771512885725
"hsa-miR-149-5p",5.21717697699289,-1.65645068680973,1.81881036207529,-0.910733038116021,0.362436051957508,0.813771512885725
"hsa-miR-150-3p",119.521969644515,0.421938516293873,0.48944835847447,0.862069529886639,0.3886492575111,0.82735786484053
"hsa-miR-150-5p",18291.4936669675,-0.190701054567052,0.355446415224525,-0.536511401997376,0.591605157884136,0.879207164650729
